County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference,longitude,latitude
Bronx,750154,Store,JAC,Y&K LARA  GROCERY CORP,Y&K LARA GROCERY,3945,CARPENTER AVE,,,BRONX,NY,10466,0,-73.86378 40.88792,-73.86378,40.88792
Queens,750116,Store,A,DITMARS FARMERS MARKET LLC,DITMARS FARMERS MARKET,22-33,31ST STREET,,,ASTORIA,NY,11105,0,-73.9116 40.77542,-73.9116,40.77542
Queens,750115,Store,JAC,BLUE ISLAND SEAFOOD CORP,BLUE ISLAND SEAFOOD,28-19,STEINWAY STREET,,,ASTORIA,NY,11103,0,-73.91412 40.76497,-73.91412,40.76497
Kings,750112,Store,A,PIGGY MEAT CORP,MARCUS MARKET,301,MARCUS GARVEY BLVD,,,BROOKLYN,NY,11221,0,-73.93889 40.68728,-73.93889,40.68728
Bronx,750099,Store,JAC,AURORA & AARON MEAT & PRODUCE COR,AURORA & AARON MEAT & P,1932,BRYANT AVENUE,,,BRONX,NY,10460,10000,-73.8819 40.84029,-73.8819,40.84029
New York,750096,Store,JABC,HARLEM BAKING CO INC,MAKE MY CAKE,409,W 125TH ST #413,,,NEW YORK,NY,10027,0,-73.95452 40.8116,-73.95452,40.8116
Kings,750083,Store,A,KUNPENG GROCERY INC,KUNPENG GROCERY,6318,11TH AVENUE,,,BROOKLYN,NY,11219,0,-74.00507 40.62946,-74.00507,40.62946
Kings,750081,Store,JAC,7 STARS SEAFOOD MARKET INC,SEVEN STARS,1706,CHURCH AVENUE,,,BROOKLYN,NY,11226,0,-73.96371 40.64918,-73.96371,40.64918
Kings,750047,Store,JAC,GARDEN MARKET II CORP,GARDEN MARKET,162,NASSAU AVE,,,BROOKLYN,NY,11222,0,-73.94671 40.72511,-73.94671,40.72511
Queens,750013,Store,JAC,BENTO ON INC,BENTON,37-39,CRESENT STREET,,,LONG ISLAND CITY,NY,11101,0,-73.9356 40.75601,-73.9356,40.75601
Kings,750011,Store,JAC,LM III INC,LINCOLN MARKET,1134,FULTON ST,,,BROOKLYN,NY,11216,12000,-73.95509 40.68101,-73.95509,40.68101
