modzcta,sale_price
10001.0,1136512.5
10002.0,1450000.0
10003.0,1360500.0
10004.0,1100000.0
10005.0,1275000.0
10006.0,1135000.0
10007.0,1225000.0
10009.0,1255000.0
10010.0,1125000.0
10011.0,1309225.5
10012.0,1175000.0
10013.0,1467500.0
10014.0,1221900.0
10016.0,1175000.0
10017.0,1450000.0
10018.0,1225000.0
10019.0,1275000.0
10021.0,1100000.0
10022.0,1240142.0
10023.0,1147066.5
10024.0,925000.0
10025.0,1150000.0
10026.0,1290000.0
10027.0,1150000.0
10028.0,1250000.0
10029.0,1357991.0
10030.0,1267500.0
10031.0,1350000.0
10032.0,1385838.0
10033.0,1190000.0
10034.0,1170000.0
10035.0,1785501.0
10036.0,1050000.0
10037.0,1317500.0
10038.0,1565000.0
10039.0,1250000.0
10040.0,1141098.0
10044.0,865000.0
10065.0,1092500.0
10069.0,1190382.0
10075.0,1200000.0
10128.0,1209000.0
10280.0,1019360.0
10282.0,720000.0
10463.0,2350000.0
11004.0,881500.0
11101.0,900000.0
11102.0,950000.0
11103.0,957000.0
11104.0,599000.0
11105.0,950000.0
11106.0,751500.0
11109.0,614792.5
11354.0,700000.0
11355.0,700000.0
11356.0,630000.0
11357.0,650000.0
11358.0,434027.0
11360.0,603679.5
11361.0,742500.0
11362.0,686457.0
11363.0,563601.5
11364.0,410000.0
11365.0,417000.0
11366.0,500000.0
11367.0,637000.0
11368.0,490000.0
11369.0,702500.0
11370.0,600000.0
11372.0,441448.0
11373.0,700000.0
11374.0,615000.0
11375.0,666954.0
11377.0,712775.0
11378.0,860000.0
11379.0,917000.0
11385.0,590000.0
11411.0,760000.0
11412.0,610000.0
11413.0,900000.0
11414.0,850000.0
11415.0,970000.0
11416.0,427500.0
11417.0,439000.0
11418.0,775000.0
11419.0,750000.0
11420.0,900000.0
11421.0,586102.0
11422.0,649000.0
11423.0,560000.0
11426.0,730000.0
11427.0,700000.0
11428.0,722500.0
11429.0,680000.0
11432.0,726524.5
11433.0,725000.0
11434.0,835000.0
11435.0,738000.0
11436.0,650000.0
11691.0,545500.0
11692.0,678659.5
11693.0,735500.0
11694.0,687573.0
11697.0,715000.0
10301.0,618000.0
10302.0,700000.0
10303.0,580000.0
10304.0,630000.0
10305.0,629000.0
10306.0,659000.0
10307.0,649400.0
10308.0,640000.0
10309.0,607500.0
10310.0,625000.0
10312.0,618000.0
10314.0,605000.0
10013.0,2090000.0
11201.0,950000.0
11203.0,906000.0
11204.0,955000.0
11205.0,1013938.0
11206.0,900000.0
11207.0,990000.0
11208.0,1150000.0
11209.0,985000.0
11210.0,802500.0
11211.0,999000.0
11212.0,915000.0
11213.0,1080000.0
11214.0,937500.0
11215.0,970000.0
11216.0,880000.0
11217.0,900000.0
11218.0,875000.0
11219.0,860000.0
11220.0,1060000.0
11221.0,786250.0
11222.0,1292250.0
11223.0,950000.0
11224.0,1350000.0
11225.0,906400.0
11226.0,760000.0
11228.0,950000.0
11229.0,980000.0
11230.0,894038.0
11231.0,935000.0
11232.0,1150000.0
11233.0,939108.0
11234.0,902103.0
11235.0,895000.0
11236.0,1150000.0
11237.0,975000.0
11238.0,992068.0
11239.0,1343750.0
10451.0,640000.0
10452.0,650000.0
10453.0,524437.5
10454.0,385000.0
10455.0,437500.0
10456.0,563687.5
10457.0,620000.0
10458.0,401250.0
10459.0,470000.0
10460.0,687500.0
10461.0,526250.0
10462.0,625400.0
10463.0,570000.0
10464.0,850000.0
10465.0,557000.0
10466.0,635000.0
10467.0,600000.0
10468.0,588750.0
10469.0,626500.0
10470.0,575000.0
10471.0,500000.0
10472.0,720000.0
10473.0,680000.0
10474.0,653600.0
10475.0,545000.0
