station_name,entrance_latitude,entrance_longitude,entrance_number,station_entrance
50th St,40.761561,-73.984154,10,50th St entrance 10
50th St,40.761111,-73.983436,5,50th St entrance 5
50th St,40.761282,-73.983853,7,50th St entrance 7
49th St,40.759513,-73.984884,3,49th St entrance 3
49th St,40.760297,-73.983567,4,49th St entrance 4
49th St,40.759384,-73.984709,2,49th St entrance 2
49th St,40.75903,-73.984412,1,49th St entrance 1
49th St,40.760454,-73.983388,5,49th St entrance 5
49th St,40.760621,-73.983904,7,49th St entrance 7
49th St,40.760486,-73.983974,6,49th St entrance 6
28th St,40.743257,-73.983738,3,28th St entrance 3
28th St,40.743128,-73.983806,1,28th St entrance 1
28th St,40.743351,-73.984302,5,28th St entrance 5
28th St,40.743394,-73.984409,6,28th St entrance 6
28th St,40.743484,-73.98428,7,28th St entrance 7
28th St,40.743167,-73.983896,2,28th St entrance 2
28th St,40.743304,-73.983857,4,28th St entrance 4
42nd St,40.755333,-73.983934,9,42nd St entrance 9
42nd St,40.753473,-73.985259,2,42nd St entrance 2
42nd St,40.754832,-73.983657,6,42nd St entrance 6
42nd St,40.755008,-73.984249,8,42nd St entrance 8
42nd St,40.753709,-73.985084,4,42nd St entrance 4
42nd St,40.754609,-73.983894,5,42nd St entrance 5
42nd St,40.754849,-73.984627,7,42nd St entrance 7
42nd St,40.753546,-73.984779,3,42nd St entrance 3
42nd St,40.753408,-73.984892,1,42nd St entrance 1
Hoyt & Schermerhorn,40.689085,-73.985941,2,Hoyt & Schermerhorn entrance 2
Hoyt & Schermerhorn,40.688396,-73.984216,1,Hoyt & Schermerhorn entrance 1
20th Av,40.617341,-73.98484,5,20th Av entrance 5
Hoyt St,40.690931,-73.98525,4,Hoyt St entrance 4
Hoyt St,40.690433,-73.984323,3,Hoyt St entrance 3
Hoyt St,40.690025,-73.984248,1,Hoyt St entrance 1
Hoyt St,40.690972,-73.985448,5,Hoyt St entrance 5
Hoyt St,40.690388,-73.985299,2,Hoyt St entrance 2
Lawrence St,40.692114,-73.986107,4,Lawrence St entrance 4
Lawrence St,40.692315,-73.985172,6,Lawrence St entrance 6
Lawrence St,40.69198,-73.98519,1,Lawrence St entrance 1
Lawrence St,40.692052,-73.986191,3,Lawrence St entrance 3
Lawrence St,40.692359,-73.986181,7,Lawrence St entrance 7
Lawrence St,40.692031,-73.985395,2,Lawrence St entrance 2
Lawrence St,40.692258,-73.986114,5,Lawrence St entrance 5
50th St,40.761968,-73.986662,13,50th St entrance 13
50th St,40.762216,-73.985757,15,50th St entrance 15
50th St,40.762085,-73.985829,14,50th St entrance 14
50th St,40.761691,-73.986805,11,50th St entrance 11
50th St,40.761741,-73.986924,12,50th St entrance 12
50th St,40.762312,-73.986378,16,50th St entrance 16
50th St,40.762452,-73.986299,17,50th St entrance 17
50th St,40.7629,-73.985412,18,50th St entrance 18
3rd Av,40.732961,-73.986657,1,3rd Av entrance 1
3rd Av,40.733277,-73.986931,4,3rd Av entrance 4
3rd Av,40.733134,-73.987041,3,3rd Av entrance 3
3rd Av,40.733122,-73.986548,2,3rd Av entrance 2
Times Square,40.756476,-73.986311,10,Times Square entrance 10
23rd St,40.739984,-73.986343,4,23rd St entrance 4
23rd St,40.739477,-73.986562,1,23rd St entrance 1
23rd St,40.739674,-73.98704,3,23rd St entrance 3
23rd St,40.74018,-73.986617,7,23rd St entrance 7
23rd St,40.740097,-73.986601,6,23rd St entrance 6
23rd St,40.739501,-73.987134,2,23rd St entrance 2
23rd St,40.740419,-73.986452,9,23rd St entrance 9
23rd St,40.74018,-73.986006,8,23rd St entrance 8
23rd St,40.740008,-73.986233,5,23rd St entrance 5
Times Square-42nd St,40.754301,-73.986623,2,Times Square-42nd St entrance 2
Times Square-42nd St,40.754507,-73.987108,4,Times Square-42nd St entrance 4
Times Square-42nd St,40.754172,-73.98668,1,Times Square-42nd St entrance 1
Times Square-42nd St,40.754335,-73.987097,3,Times Square-42nd St entrance 3
25th Av,40.5981,-73.987279,4,25th Av entrance 4
25th Av,40.597751,-73.987112,1,25th Av entrance 1
25th Av,40.597952,-73.987442,3,25th Av entrance 3
25th Av,40.597889,-73.986958,2,25th Av entrance 2
York St,40.70138,-73.986655,1,York St entrance 1
Jay St - Borough Hall,40.693243,-73.987481,11,Jay St - Borough Hall entrance 11
Jay St - Borough Hall,40.692397,-73.987162,8,Jay St - Borough Hall entrance 8
Jay St - Borough Hall,40.692329,-73.987167,3,Jay St - Borough Hall entrance 3
Jay St - Borough Hall,40.691559,-73.987208,1,Jay St - Borough Hall entrance 1
Jay St - Borough Hall,40.6917,-73.987461,2,Jay St - Borough Hall entrance 2
Jay St - Borough Hall,40.692336,-73.987494,5,Jay St - Borough Hall entrance 5
Jay St - Borough Hall,40.693153,-73.987484,9,Jay St - Borough Hall entrance 9
Jay St - Borough Hall,40.692335,-73.987446,4,Jay St - Borough Hall entrance 4
Jay St - Borough Hall,40.692393,-73.987443,6,Jay St - Borough Hall entrance 6
Jay St - Borough Hall,40.692394,-73.987491,7,Jay St - Borough Hall entrance 7
Jay St - Borough Hall,40.693243,-73.987402,12,Jay St - Borough Hall entrance 12
Jay St - Borough Hall,40.693491,-73.987089,13,Jay St - Borough Hall entrance 13
Jay St - Borough Hall,40.693153,-73.987408,10,Jay St - Borough Hall entrance 10
Essex St,40.718551,-73.98765,2,Essex St entrance 2
Essex St,40.71841,-73.987181,1,Essex St entrance 1
Times Square,40.756241,-73.987133,9,Times Square entrance 9
Times Square,40.754568,-73.987827,1,Times Square entrance 1
Times Square,40.755554,-73.987679,5,Times Square entrance 5
Times Square,40.755575,-73.986311,6,Times Square entrance 6
Times Square,40.755747,-73.986875,7,Times Square entrance 7
Times Square,40.755248,-73.987362,3,Times Square entrance 3
Times Square,40.755334,-73.9872,4,Times Square entrance 4
Times Square,40.756042,-73.987242,8,Times Square entrance 8
Times Square,40.754691,-73.988067,2,Times Square entrance 2
34th St,40.750674,-73.988031,19,34th St entrance 19
34th St,40.749615,-73.988159,6,34th St entrance 6
34th St,40.749845,-73.988254,9,34th St entrance 9
34th St,40.750088,-73.988142,12,34th St entrance 12
34th St,40.748746,-73.988774,3,34th St entrance 3
34th St,40.74895,-73.988623,4,34th St entrance 4
34th St,40.750404,-73.986989,16,34th St entrance 16
34th St,40.750647,-73.987346,18,34th St entrance 18
34th St,40.75088,-73.988096,21,34th St entrance 21
34th St,40.750271,-73.987066,13,34th St entrance 13
34th St,40.749891,-73.987495,10,34th St entrance 10
34th St,40.748477,-73.988288,2,34th St entrance 2
34th St,40.748294,-73.987976,1,34th St entrance 1
34th St,40.74959,-73.98762,5,34th St entrance 5
Delancey St,40.718207,-73.988273,1,Delancey St entrance 1
Delancey St,40.718372,-73.988445,2,Delancey St entrance 2
Delancey St,40.718781,-73.988233,4,Delancey St entrance 4
Delancey St,40.718778,-73.987961,3,Delancey St entrance 3
9th St,40.670387,-73.98848,1,9th St entrance 1
9th St,40.670538,-73.988778,2,9th St entrance 2
28th St,40.745299,-73.988579,10,28th St entrance 10
28th St,40.745281,-73.988923,9,28th St entrance 9
28th St,40.745089,-73.988472,8,28th St entrance 8
28th St,40.745488,-73.98901,11,28th St entrance 11
23rd St,40.741913,-73.989428,17,23rd St entrance 17
23rd St,40.74108,-73.989083,12,23rd St entrance 12
23rd St,40.740758,-73.989632,11,23rd St entrance 11
23rd St,40.741539,-73.988989,16,23rd St entrance 16
23rd St,40.741378,-73.988895,15,23rd St entrance 15
23rd St,40.740643,-73.989217,10,23rd St entrance 10
23rd St,40.741208,-73.989639,14,23rd St entrance 14
23rd St,40.741111,-73.98892,13,23rd St entrance 13
42nd St,40.757929,-73.989547,15,42nd St entrance 15
42nd St,40.757286,-73.989582,13,42nd St entrance 13
42nd St,40.755989,-73.991049,11,42nd St entrance 11
42nd St,40.755801,-73.990576,10,42nd St entrance 10
42nd St,40.756101,-73.990887,12,42nd St entrance 12
42nd St,40.758567,-73.989053,17,42nd St entrance 17
42nd St,40.758401,-73.988673,16,42nd St entrance 16
42nd St,40.757463,-73.989984,14,42nd St entrance 14
42nd St,40.758685,-73.98899,18,42nd St entrance 18
4th Av,40.669953,-73.989442,1,4th Av entrance 1
4th Av,40.67001,-73.989248,2,4th Av entrance 2
2nd Av,40.72395,-73.991298,4,2nd Av entrance 4
2nd Av,40.723665,-73.991651,3,2nd Av entrance 3
2nd Av,40.7232,-73.988863,2,2nd Av entrance 2
2nd Av,40.722807,-73.988942,1,2nd Av entrance 1
14th St-Union Square,40.73418,-73.989549,1,14th St-Union Square entrance 1
14th St-Union Square,40.735184,-73.989793,6,14th St-Union Square entrance 6
14th St-Union Square,40.734222,-73.989674,2,14th St-Union Square entrance 2
14th St-Union Square,40.734495,-73.990311,5,14th St-Union Square entrance 5
14th St-Union Square,40.734444,-73.990184,4,14th St-Union Square entrance 4
14th St-Union Square,40.734406,-73.989437,3,14th St-Union Square entrance 3
Borough Hall,40.693594,-73.990304,7,Borough Hall entrance 7
Borough Hall,40.693569,-73.990599,6,Borough Hall entrance 6
Borough Hall,40.693838,-73.990119,9,Borough Hall entrance 9
Borough Hall,40.693728,-73.99063,8,Borough Hall entrance 8
Borough Hall,40.69234,-73.99056,2,Borough Hall entrance 2
Borough Hall,40.692548,-73.990099,4,Borough Hall entrance 4
Borough Hall,40.692299,-73.990301,1,Borough Hall entrance 1
Borough Hall,40.692588,-73.990572,5,Borough Hall entrance 5
Borough Hall,40.692489,-73.991193,3,Borough Hall entrance 3
East Broadway,40.712727,-73.990126,1,East Broadway entrance 1
East Broadway,40.713906,-73.990014,2,East Broadway entrance 2
East Broadway,40.714194,-73.990352,3,East Broadway entrance 3
East Broadway,40.714404,-73.989918,4,East Broadway entrance 4
18th Av,40.621306,-73.991469,5,18th Av entrance 5
18th Av,40.620062,-73.98941,4,18th Av entrance 4
High St,40.699112,-73.98892,1,High St entrance 1
High St,40.699212,-73.988274,2,High St entrance 2
High St,40.699405,-73.991413,3,High St entrance 3
Union Square,40.735278,-73.991058,3,Union Square entrance 3
Union Square,40.736339,-73.990603,5,Union Square entrance 5
Union Square,40.736523,-73.990447,6,Union Square entrance 6
Union Square,40.735311,-73.990265,4,Union Square entrance 4
Union Square,40.734755,-73.990991,1,Union Square entrance 1
Union Square,40.734859,-73.991235,2,Union Square entrance 2
Bergen St,40.686584,-73.990362,8,Bergen St entrance 8
Bergen St,40.686868,-73.990526,11,Bergen St entrance 11
Bergen St,40.686708,-73.990629,9,Bergen St entrance 9
Bergen St,40.686727,-73.990269,10,Bergen St entrance 10
Bergen St,40.685579,-73.991465,7,Bergen St entrance 7
Bergen St,40.685445,-73.991131,6,Bergen St entrance 6
34th St,40.750313,-73.990854,15,34th St entrance 15
34th St,40.750476,-73.991254,17,34th St entrance 17
34th St,40.750982,-73.990899,22,34th St entrance 22
34th St,40.750077,-73.99082,11,34th St entrance 11
34th St,40.75102,-73.990323,23,34th St entrance 23
34th St,40.751046,-73.991271,24,34th St entrance 24
34th St,40.75081,-73.990481,20,34th St entrance 20
34th St,40.74979,-73.991721,8,34th St entrance 8
34th St,40.751187,-73.990791,25,34th St entrance 25
34th St,40.750283,-73.99065,14,34th St entrance 14
34th St,40.749656,-73.99113,7,34th St entrance 7
Astor Place,40.730084,-73.990838,2,Astor Place entrance 2
Astor Place,40.729968,-73.99141,1,Astor Place entrance 1
Court St,40.694416,-73.992619,2,Court St entrance 2
Court St,40.694475,-73.99283,3,Court St entrance 3
Court St,40.694232,-73.992635,1,Court St entrance 1
8th St,40.730642,-73.992737,6,8th St entrance 6
8th St,40.729778,-73.993262,2,8th St entrance 2
8th St,40.729678,-73.993051,1,8th St entrance 1
8th St,40.730477,-73.992286,3,8th St entrance 3
8th St,40.730578,-73.992216,4,8th St entrance 4
8th St,40.730716,-73.992517,7,8th St entrance 7
8th St,40.730592,-73.99262,5,8th St entrance 5
8th St,40.730773,-73.992641,8,8th St entrance 8
23rd St,40.742715,-73.992617,19,23rd St entrance 19
23rd St,40.74288,-73.992506,21,23rd St entrance 21
23rd St,40.742825,-73.992383,20,23rd St entrance 20
23rd St,40.743121,-73.993099,25,23rd St entrance 25
23rd St,40.743066,-73.992971,24,23rd St entrance 24
23rd St,40.742977,-73.993188,23,23rd St entrance 23
23rd St,40.742922,-73.993066,22,23rd St entrance 22
23rd St,40.742659,-73.992489,18,23rd St entrance 18
Prospect Av,40.665058,-73.993002,1,Prospect Av entrance 1
Prospect Av,40.665299,-73.992729,3,Prospect Av entrance 3
Prospect Av,40.665269,-73.993245,2,Prospect Av entrance 2
Clark St,40.69759,-73.993275,1,Clark St entrance 1
Clark St,40.697649,-73.99306,2,Clark St entrance 2
28th St,40.747036,-73.993138,14,28th St entrance 14
28th St,40.747216,-73.993121,15,28th St entrance 15
28th St,40.747264,-73.993611,16,28th St entrance 16
28th St,40.747392,-73.99351,17,28th St entrance 17
28th St,40.746787,-73.993955,13,28th St entrance 13
28th St,40.746594,-73.993555,12,28th St entrance 12
34th St,40.752427,-73.993679,35,34th St entrance 35
34th St,40.751996,-73.993327,31,34th St entrance 31
34th St,40.75202,-73.993352,32,34th St entrance 32
34th St,40.752161,-73.993109,33,34th St entrance 33
34th St,40.752689,-73.992742,36,34th St entrance 36
34th St,40.752796,-73.992669,38,34th St entrance 38
34th St,40.752766,-73.992596,37,34th St entrance 37
34th St,40.752877,-73.993244,39,34th St entrance 39
34th St,40.753053,-73.993256,41,34th St entrance 41
34th St,40.753032,-73.993188,40,34th St entrance 40
34th St,40.752178,-73.993701,34,34th St entrance 34
34th St,40.751291,-73.993887,26,34th St entrance 26
34th St,40.751432,-73.993538,27,34th St entrance 27
34th St,40.751677,-73.994107,30,34th St entrance 30
34th St,40.751561,-73.994243,29,34th St entrance 29
34th St,40.751539,-73.994181,28,34th St entrance 28
Bay Parkway,40.60215,-73.993948,4,Bay Parkway entrance 4
Bay Parkway,40.601993,-73.99413,3,Bay Parkway entrance 3
Bay Parkway,40.601726,-73.993696,1,Bay Parkway entrance 1
Bay Parkway,40.601898,-73.993538,2,Bay Parkway entrance 2
Grand St,40.718265,-73.993877,7,Grand St entrance 7
Grand St,40.718155,-73.993452,5,Grand St entrance 5
Grand St,40.718191,-73.993577,6,Grand St entrance 6
Bowery,40.720291,-73.993411,2,Bowery entrance 2
Bowery,40.719977,-73.993576,1,Bowery entrance 1
Fort Hamilton Parkway,40.641379,-73.994188,6,Fort Hamilton Parkway entrance 6
Fort Hamilton Parkway,40.640185,-73.994423,4,Fort Hamilton Parkway entrance 4
Fort Hamilton Parkway,40.64018,-73.99422,3,Fort Hamilton Parkway entrance 3
Fort Hamilton Parkway,40.64136,-73.994411,5,Fort Hamilton Parkway entrance 5
9th Av,40.646337,-73.994489,1,9th Av entrance 1
Bleecker St,40.725755,-73.994367,4,Bleecker St entrance 4
Bleecker St,40.725726,-73.994579,3,Bleecker St entrance 3
Bleecker St,40.724888,-73.995291,1,Bleecker St entrance 1
Bleecker St,40.725958,-73.994829,6,Bleecker St entrance 6
Bleecker St,40.726047,-73.994759,7,Bleecker St entrance 7
Bleecker St,40.725845,-73.99432,5,Bleecker St entrance 5
Bleecker St,40.725137,-73.994938,2,Bleecker St entrance 2
50th St,40.636133,-73.994915,1,50th St entrance 1
50th St,40.636139,-73.994702,2,50th St entrance 2
50th St,40.636415,-73.994879,4,50th St entrance 4
50th St,40.636405,-73.994673,3,50th St entrance 3
Carroll St,40.680806,-73.99435,3,Carroll St entrance 3
Carroll St,40.680944,-73.994247,4,Carroll St entrance 4
Carroll St,40.681115,-73.994434,5,Carroll St entrance 5
Carroll St,40.679299,-73.995698,1,Carroll St entrance 1
Carroll St,40.679344,-73.995288,2,Carroll St entrance 2
55th St,40.631538,-73.995643,2,55th St entrance 2
55th St,40.631389,-73.995262,1,55th St entrance 1
55th St,40.631709,-73.995283,3,55th St entrance 3
23rd St,40.74391,-73.995608,26,23rd St entrance 26
23rd St,40.744313,-73.995811,29,23rd St entrance 29
23rd St,40.744017,-73.995901,27,23rd St entrance 27
23rd St,40.74412,-73.995348,28,23rd St entrance 28
Smith-9th St,40.674725,-73.997505,1,Smith-9th St entrance 1
Broadway-Lafayette St,40.724987,-73.995628,1,Broadway-Lafayette St entrance 1
Broadway-Lafayette St,40.725011,-73.995745,2,Broadway-Lafayette St entrance 2
Broadway-Lafayette St,40.725344,-73.995612,4,Broadway-Lafayette St entrance 4
Broadway-Lafayette St,40.725499,-73.996387,5,Broadway-Lafayette St entrance 5
Broadway-Lafayette St,40.725202,-73.996583,3,Broadway-Lafayette St entrance 3
14th St,40.738718,-73.996121,16,14th St entrance 16
14th St,40.738838,-73.996023,18,14th St entrance 18
14th St,40.738529,-73.995685,13,14th St entrance 13
14th St,40.738678,-73.995632,15,14th St entrance 15
14th St,40.73737,-73.997079,4,14th St entrance 4
14th St,40.737519,-73.99697,7,14th St entrance 7
14th St,40.737572,-73.997111,8,14th St entrance 8
14th St,40.737423,-73.99722,6,14th St entrance 6
14th St,40.737316,-73.996508,3,14th St entrance 3
14th St,40.737286,-73.996437,2,14th St entrance 2
New Utrecht Av,40.624246,-73.995962,1,New Utrecht Av entrance 1
New Utrecht Av,40.625606,-73.99683,2,New Utrecht Av entrance 2
6th Av,40.737197,-73.996704,2,6th Av entrance 2
6th Av,40.737149,-73.996578,1,6th Av entrance 1
62nd St,40.627367,-73.996729,3,62nd St entrance 3
62nd St,40.627299,-73.996465,2,62nd St entrance 2
62nd St,40.62711,-73.99687,1,62nd St entrance 1
Spring St,40.722235,-73.996818,2,Spring St entrance 2
Spring St,40.722468,-73.997397,4,Spring St entrance 4
Spring St,40.72239,-73.997437,3,Spring St entrance 3
Spring St,40.722116,-73.996912,1,Spring St entrance 1
Prince St,40.724344,-73.997875,4,Prince St entrance 4
Prince St,40.72426,-73.997957,3,Prince St entrance 3
Prince St,40.72422,-73.997633,2,Prince St entrance 2
Prince St,40.724124,-73.997686,1,Prince St entrance 1
18th St,40.741206,-73.998035,4,18th St entrance 4
18th St,40.741081,-73.998105,3,18th St entrance 3
18th St,40.741015,-73.99758,2,18th St entrance 2
18th St,40.74092,-73.997698,1,18th St entrance 1
18th St,40.741617,-73.997197,5,18th St entrance 5
18th St,40.741783,-73.997557,6,18th St entrance 6
23rd St,40.745299,-73.998145,32,23rd St entrance 32
23rd St,40.745102,-73.998365,30,23rd St entrance 30
23rd St,40.746427,-73.99735,36,23rd St entrance 36
23rd St,40.746535,-73.997271,38,23rd St entrance 38
23rd St,40.745505,-73.998642,33,23rd St entrance 33
23rd St,40.745278,-73.998771,31,23rd St entrance 31
23rd St,40.746603,-73.997801,39,23rd St entrance 39
23rd St,40.746732,-73.997711,40,23rd St entrance 40
23rd St,40.746483,-73.997142,37,23rd St entrance 37
23rd St,40.74611,-73.998145,35,23rd St entrance 35
23rd St,40.745814,-73.997852,34,23rd St entrance 34
25th St,40.660323,-73.997952,1,25th St entrance 1
25th St,40.660489,-73.99822,2,25th St entrance 2
20th Av,40.604631,-73.998498,3,20th Av entrance 3
20th Av,40.604789,-73.998349,4,20th Av entrance 4
20th Av,40.604439,-73.998164,1,20th Av entrance 1
20th Av,40.604587,-73.998007,2,20th Av entrance 2
71st St,40.619133,-73.99924,4,71st St entrance 4
71st St,40.620379,-73.998764,6,71st St entrance 6
71st St,40.62036,-73.99855,5,71st St entrance 5
71st St,40.618889,-73.998832,3,71st St entrance 3
71st St,40.61877,-73.998995,1,71st St entrance 1
71st St,40.618834,-73.999195,2,71st St entrance 2
Canal St,40.717823,-74.000326,1,Canal St entrance 1
Canal St,40.718304,-74.000138,4,Canal St entrance 4
Canal St,40.718197,-74.000388,3,Canal St entrance 3
Canal St,40.718155,-74.000317,2,Canal St entrance 2
Canal St,40.718638,-74.000623,8,Canal St entrance 8
Canal St,40.718589,-74.000552,7,Canal St entrance 7
Canal St,40.718358,-74.000216,5,Canal St entrance 5
Canal St,40.718506,-74.000826,6,Canal St entrance 6
14th St,40.738585,-73.999405,14,14th St entrance 14
14th St,40.738358,-73.999656,11,14th St entrance 11
14th St,40.738013,-74.000329,10,14th St entrance 10
14th St,40.737388,-74.000815,5,14th St entrance 5
14th St,40.737197,-74.0004,1,14th St entrance 1
14th St,40.737846,-73.99993,9,14th St entrance 9
14th St,40.738775,-73.999711,17,14th St entrance 17
14th St,40.738484,-73.999914,12,14th St entrance 12
West 4th St,40.733067,-73.999728,4,West 4th St entrance 4
West 4th St,40.731086,-74.001209,1,West 4th St entrance 1
West 4th St,40.731133,-74.001534,3,West 4th St entrance 3
West 4th St,40.731091,-74.001127,2,West 4th St entrance 2
West 4th St,40.733259,-73.999615,6,West 4th St entrance 6
West 4th St,40.733072,-74.000192,5,West 4th St entrance 5
79th St,40.612855,-74.000892,2,79th St entrance 2
79th St,40.614054,-74.000585,4,79th St entrance 4
79th St,40.614018,-74.000378,3,79th St entrance 3
79th St,40.612847,-74.000721,1,79th St entrance 1
14th St,40.740598,-74.002185,22,14th St entrance 22
14th St,40.739776,-74.002256,19,14th St entrance 19
14th St,40.74041,-74.00175,21,14th St entrance 21
14th St,40.739949,-74.002655,20,14th St entrance 20
14th St,40.741046,-74.001284,25,14th St entrance 25
14th St,40.740944,-74.001402,24,14th St entrance 24
14th St,40.741235,-74.001715,26,14th St entrance 26
14th St,40.740938,-74.001919,23,14th St entrance 23
18th Av,40.607897,-74.001628,3,18th Av entrance 3
18th Av,40.607723,-74.001894,2,18th Av entrance 2
18th Av,40.607602,-74.001491,1,18th Av entrance 1
Canal St (UL),40.719218,-74.00185,2,Canal St (UL) entrance 2
Canal St (UL),40.719498,-74.001606,5,Canal St (UL) entrance 5
Canal St (UL),40.719585,-74.00193,6,Canal St (UL) entrance 6
Canal St (UL),40.719408,-74.002158,3,Canal St (UL) entrance 3
Canal St (UL),40.71966,-74.002019,7,Canal St (UL) entrance 7
Canal St (UL),40.71946,-74.002236,4,Canal St (UL) entrance 4
Canal St (UL),40.719166,-74.001774,1,Canal St (UL) entrance 1
34 St Hudson Yards,40.754937,-74.000961,2,34 St Hudson Yards entrance 2
34 St Hudson Yards,40.754904,-74.001323,1,34 St Hudson Yards entrance 1
8th Av,40.73955,-74.002389,2,8th Av entrance 2
8th Av,40.739734,-74.002804,3,8th Av entrance 3
Christopher St,40.733467,-74.003076,2,Christopher St entrance 2
Christopher St,40.733402,-74.002748,1,Christopher St entrance 1
Christopher St,40.733634,-74.003123,4,Christopher St entrance 4
Christopher St,40.733652,-74.003006,5,Christopher St entrance 5
Christopher St,40.733515,-74.003147,3,Christopher St entrance 3
Chambers St,40.714199,-74.003187,4,Chambers St entrance 4
Chambers St,40.712699,-74.004099,1,Chambers St entrance 1
36th St,40.65449,-74.004499,2,36th St entrance 2
36th St,40.654676,-74.004306,3,36th St entrance 3
36th St,40.654365,-74.004113,1,36th St entrance 1
Brooklyn Bridge-City Hall,40.713721,-74.003734,6,Brooklyn Bridge-City Hall entrance 6
Spring St,40.726208,-74.00399,7,Spring St entrance 7
Spring St,40.725595,-74.004326,6,Spring St entrance 6
Spring St,40.725583,-74.003747,5,Spring St entrance 5
Brooklyn Bridge-City Hall,40.713839,-74.003864,7,Brooklyn Bridge-City Hall entrance 7
Brooklyn Bridge-City Hall,40.713899,-74.003642,8,Brooklyn Bridge-City Hall entrance 8
Brooklyn Bridge-City Hall,40.712333,-74.004387,3,Brooklyn Bridge-City Hall entrance 3
Brooklyn Bridge-City Hall,40.712868,-74.004806,5,Brooklyn Bridge-City Hall entrance 5
Brooklyn Bridge-City Hall,40.712723,-74.004971,4,Brooklyn Bridge-City Hall entrance 4
Brooklyn Bridge-City Hall,40.711824,-74.005057,1,Brooklyn Bridge-City Hall entrance 1
Brooklyn Bridge-City Hall,40.711857,-74.005114,2,Brooklyn Bridge-City Hall entrance 2
Canal St,40.720704,-74.004999,10,Canal St entrance 10
Canal St,40.720758,-74.005399,11,Canal St entrance 11
Canal St,40.721651,-74.005634,12,Canal St entrance 12
Canal St,40.721967,-74.005133,13,Canal St entrance 13
Canal St,40.71987,-74.005038,9,Canal St entrance 9
Fort Hamilton Parkway,40.632179,-74.006658,2,Fort Hamilton Parkway entrance 2
Fort Hamilton Parkway,40.630609,-74.004067,1,Fort Hamilton Parkway entrance 1
Houston St,40.728656,-74.005086,7,Houston St entrance 7
Houston St,40.728472,-74.005188,5,Houston St entrance 5
Houston St,40.727983,-74.00565,3,Houston St entrance 3
Houston St,40.728561,-74.00554,6,Houston St entrance 6
Houston St,40.728686,-74.005517,8,Houston St entrance 8
Houston St,40.727739,-74.005305,1,Houston St entrance 1
Houston St,40.72784,-74.005681,2,Houston St entrance 2
Houston St,40.727989,-74.005258,4,Houston St entrance 4
Canal St,40.722932,-74.00662,17,Canal St entrance 17
Canal St,40.722497,-74.005994,14,Canal St entrance 14
Canal St,40.722878,-74.006518,16,Canal St entrance 16
Canal St,40.722569,-74.00608,15,Canal St entrance 15
Fulton St,40.709475,-74.006409,7,Fulton St entrance 7
Fulton St,40.70863,-74.006999,3,Fulton St entrance 3
Fulton St,40.7092,-74.006664,5,Fulton St entrance 5
Fulton St,40.709046,-74.006814,4,Fulton St entrance 4
Franklin St,40.718965,-74.007121,1,Franklin St entrance 1
Franklin St,40.719251,-74.007058,3,Franklin St entrance 3
Franklin St,40.719918,-74.00662,5,Franklin St entrance 5
Franklin St,40.719001,-74.006675,2,Franklin St entrance 2
Franklin St,40.719888,-74.006925,4,Franklin St entrance 4
City Hall,40.713437,-74.00676,2,City Hall entrance 2
City Hall,40.71311,-74.007045,1,City Hall entrance 1
City Hall,40.713521,-74.006697,3,City Hall entrance 3
Fulton St,40.710241,-74.008022,13,Fulton St entrance 13
Fulton St,40.710106,-74.007648,9,Fulton St entrance 9
Fulton St,40.709376,-74.008375,6,Fulton St entrance 6
Fulton St,40.710388,-74.007935,14,Fulton St entrance 14
Fulton St,40.710211,-74.007584,12,Fulton St entrance 12
Fulton St,40.709507,-74.008295,8,Fulton St entrance 8
Broadway-Nassau,40.710555,-74.008632,1,Broadway-Nassau entrance 1
Broadway-Nassau,40.710692,-74.008428,2,Broadway-Nassau entrance 2
Chambers St,40.714777,-74.007903,8,Chambers St entrance 8
Chambers St,40.713753,-74.009046,2,Chambers St entrance 2
Chambers St,40.713949,-74.00896,3,Chambers St entrance 3
Chambers St,40.714313,-74.008584,6,Chambers St entrance 6
Chambers St,40.714539,-74.008428,7,Chambers St entrance 7
Chambers St,40.7142,-74.008357,5,Chambers St entrance 5
Chambers St,40.714873,-74.008162,9,Chambers St entrance 9
Chambers St,40.714992,-74.007739,10,Chambers St entrance 10
Chambers St,40.715099,-74.007989,11,Chambers St entrance 11
Park Place,40.712712,-74.007766,3,Park Place entrance 3
Wall St,40.706385,-74.009658,2,Wall St entrance 2
Wall St,40.706392,-74.009332,3,Wall St entrance 3
Wall St,40.706755,-74.008804,5,Wall St entrance 5
Wall St,40.706272,-74.009447,1,Wall St entrance 1
Wall St,40.706506,-74.009544,4,Wall St entrance 4
Wall St,40.707431,-74.008778,9,Wall St entrance 9
Chambers St,40.715576,-74.009031,15,Chambers St entrance 15
Chambers St,40.715444,-74.009453,13,Chambers St entrance 13
Chambers St,40.715349,-74.009211,12,Chambers St entrance 12
Chambers St,40.715736,-74.009328,16,Chambers St entrance 16
Chambers St,40.715539,-74.009427,14,Chambers St entrance 14
Fulton St,40.711112,-74.009382,17,Fulton St entrance 17
Fulton St,40.710166,-74.009424,11,Fulton St entrance 11
Fulton St,40.711026,-74.00919,16,Fulton St entrance 16
Fulton St,40.710944,-74.009403,15,Fulton St entrance 15
Fulton St,40.710165,-74.009182,10,Fulton St entrance 10
World Trade Center,40.71171,-74.010204,1,World Trade Center entrance 1
World Trade Center,40.712258,-74.010306,3,World Trade Center entrance 3
